Fig.12(a),simulation,,,,,,theory,,,,,,,
,,,,,,,,,,,,,,
,,20°,,40°,,60°,,20°,,40°,,60°,,
,t,s,t,s,t,s,t,s,t,s,t,s,,
,0.24,0.00564,0.24,0.00510666666666667,0.2656,0.00424,0.0907084041456454,0.00316463922452667,0.147436954805253,0.00384215422547832,0.235646436535239,0.00398398003757492,,
,0.2432,0.00569333333333333,0.2432,0.00514666666666667,0.272,0.00430666666666667,0.0994035133796272,0.00335948791273835,0.160960414844661,0.00406035201477742,0.269747698929506,0.00433668510767488,,
,0.2464,0.00573333333333333,0.2464,0.00518666666666667,0.2816,0.0044,0.116793731847591,0.00372915582565929,0.174483874884068,0.0042703005603798,0.303848961323773,0.00466865998695592,,
,0.2496,0.00578666666666667,0.2496,0.00522666666666667,0.288,0.00446666666666667,0.132230446994994,0.00403733153807531,0.188007334923476,0.004473978754403,0.337950223718039,0.0049837512700284,,
,0.2528,0.00582666666666667,0.2528,0.00528,0.2912,0.00449333333333333,0.147667162142398,0.00432941546151876,0.21234956299441,0.00482596196757395,0.372051486112306,0.00528576615682554,,
,0.256,0.00586666666666667,0.256,0.00532,0.2976,0.00456,0.163103877289802,0.0046078562014754,0.236691791065343,0.00516050593311629,0.406152748506573,0.00557700246402354,,
,0.2592,0.00592,0.2592,0.00536,0.3008,0.00458666666666667,0.178540592437206,0.0048745575843878,0.261034019136277,0.00547966475811217,0.440254010900839,0.00585726597086569,,
,0.2624,0.00596,0.2624,0.0054,0.3104,0.00468,0.209414022732013,0.00537769554245671,0.28537624720721,0.00578534190615732,0.474355273295106,0.00612531973223894,,
,0.2656,0.00601333333333333,0.2656,0.00544,0.3136,0.00470666666666667,0.240287453026821,0.00584799551587087,0.334060703349077,0.0063616505566748,0.508456535689373,0.00638348329307881,,
,0.2688,0.00605333333333333,0.2688,0.00548,0.3232,0.0048,0.271160883321628,0.00629203207966133,0.382745159490944,0.00689976535896108,0.542557798083639,0.00663466940158582,,
,0.272,0.00609333333333333,0.272,0.00552,0.3264,0.00482666666666667,0.302034313616436,0.00671391345855939,0.442731940024051,0.00752040563219926,0.603940070393319,0.00707071022391756,,
,0.2752,0.00613333333333333,0.2752,0.00556,0.3392,0.00494666666666667,0.332907743911243,0.00711630469917049,0.502718720557158,0.00810343295971797,0.665322342702999,0.00748682863749304,,
,0.2784,0.00618666666666667,0.2784,0.0056,0.3424,0.00497333333333333,0.363781174206051,0.00750126850118442,0.562705501090265,0.00865534613847421,0.788086887322359,0.00826981064446279,,
,0.2816,0.00622666666666667,0.2816,0.00564,0.3456,0.005,0.394654604500858,0.00787081122294351,0.622692281623372,0.00918042652088382,0.887694370391707,0.00886213436272479,,
,0.2848,0.00626666666666667,0.2848,0.00568,0.3616,0.00514666666666667,0.456401465090473,0.00857095688192966,0.682679062156479,0.00968195254752529,0.987301853461056,0.00942241283112312,,
,0.288,0.00630666666666667,0.288,0.00572,0.3648,0.00517333333333333,0.518148325680088,0.00922882745420116,0.767679062156479,0.0103575503135209,1.0869093365304,0.0099561032029564,,
,0.2912,0.00636,0.2912,0.00576,0.368,0.0052,0.579895186269703,0.00985221155226311,0.85,0.0109784552889734,1.18651681959975,0.0104658203517237,,
,0.2944,0.0064,0.2944,0.0058,0.3712,0.00522666666666667,0.641642046859318,0.0104456346910812,,,1.2861243026691,0.0109561497481425,,
,0.2976,0.00644,0.2976,0.00582666666666667,0.3744,0.00525333333333333,0.703388907448933,0.0110120209244652,,,1.38573178573845,0.0114305542646625,,
,0.3008,0.00648,0.3008,0.00586666666666667,0.3776,0.00528,0.75,0.0114231897930875,,,1.4,0.0114973193947821,,
,0.304,0.00652,0.304,0.00590666666666667,0.3808,0.00530666666666667,,,,,,,,
,0.3072,0.00656,0.3072,0.00594666666666667,0.4384,0.00578666666666667,,,,,,,,
,0.3104,0.0066,0.3104,0.00598666666666667,0.4672,0.00601333333333333,,,,,,,,
,0.3136,0.00665333333333333,0.3136,0.00602666666666667,0.4704,0.00604,,,,,,,,
,0.3168,0.00669333333333333,0.3168,0.00605333333333333,0.4864,0.00616,,,,,,,,
,0.32,0.00673333333333333,0.32,0.00609333333333333,0.4896,0.00618666666666667,,,,,,,,
,0.3232,0.00677333333333333,0.3232,0.00613333333333333,0.4928,0.00621333333333333,,,,,,,,
,0.3264,0.00681333333333333,0.3264,0.00617333333333333,0.4992,0.00625333333333333,,,,,,,,
