case,radius,eps_solid,indicator,near_count,grad_mean,grad_std,grad_max,grad_p99,normal_alignment_min,normal_alignment_mean,normal_jump_mean,normal_jump_max,normal_jump_p99
sphere,24.0,0.8,sharp,29104,0.2698858667168763,0.33632638868683673,0.8660254037844386,0.8660254037844386,0.6302948515057397,0.9177454668960902,0.3806407524278731,0.9194016867619662,0.9194016867619662
plane,24.0,1.0,diffuse,36864,0.216160069998046,0.06519980393269727,0.28135987393074324,0.28135987393074324,1.0,1.0,0.0,0.0,0.0
plane,24.0,1.0,sharp,36864,0.25,0.25,0.5,0.5,1.0,1.0,0.0,0.0,0.0
cylinder_z,24.0,1.0,diffuse,57600,0.2170605535619211,0.07384531411041854,0.3260734146847455,0.3260734146847455,0.9988432933363862,0.9997922259411572,0.020697437860711047,0.06727388268119633,0.06449092032515173
cylinder_z,24.0,1.0,sharp,57600,0.2633739776960659,0.30105505787571846,0.7071067811865476,0.7071067811865476,0.8274757743917582,0.9529893677060733,0.14070898928901732,0.7653668647301795,0.7653668647301795
sphere,24.0,1.0,diffuse,29104,0.2167114791274431,0.07827703952459733,0.33486883302882686,0.3307829115048263,0.9984604028048142,0.9997399150782391,0.03705553590304573,0.07548889864758246,0.06944353560897168
sphere,24.0,1.0,sharp,29104,0.2698858667168763,0.33632638868683673,0.8660254037844386,0.8660254037844386,0.6302948515057397,0.9177454668960902,0.3806407524278731,0.9194016867619662,0.9194016867619662
plane,24.0,1.2,diffuse,36864,0.2010667608326949,0.047620283794436155,0.24868704462713107,0.24868704462713107,1.0,1.0,2.0163458125945665e-18,5.116091581210771e-16,0.0
plane,24.0,1.2,sharp,36864,0.25,0.25,0.5,0.5,1.0,1.0,0.0,0.0,0.0
cylinder_z,24.0,1.2,diffuse,57600,0.20182996277441684,0.05399165778746038,0.2782120732809959,0.2782120732809959,0.9996215030055625,0.9999167514847709,0.01860458970368482,0.0530297171522677,0.05267913722437751
cylinder_z,24.0,1.2,sharp,57600,0.2633739776960659,0.30105505787571846,0.7071067811865476,0.7071067811865476,0.8274757743917582,0.9529893677060733,0.14070898928901732,0.7653668647301795,0.7653668647301795
sphere,24.0,1.2,diffuse,29104,0.20172473930910628,0.057008991520624865,0.2835524721786396,0.2810257615121507,0.9995018417840252,0.9998973747147732,0.034609016046107735,0.05378203107824703,0.05204823535860456
sphere,24.0,1.2,sharp,29104,0.2698858667168763,0.33632638868683673,0.8660254037844386,0.8660254037844386,0.6302948515057397,0.9177454668960902,0.3806407524278731,0.9194016867619662,0.9194016867619662
plane,24.0,1.25,diffuse,36864,0.1973356642755818,0.04412278118546393,0.24145844546104572,0.24145844546104572,1.0,1.0,5.388617075862786e-18,1.3499051986992533e-15,2.2989939790784164e-16
plane,24.0,1.25,sharp,36864,0.25,0.25,0.5,0.5,1.0,1.0,0.0,0.0,0.0
cylinder_z,24.0,1.25,diffuse,57600,0.1980639774451394,0.05004175037580628,0.26823203487905584,0.26823203487905584,0.9996920824374634,0.9999312876499802,0.018328954006287156,0.05188978097658941,0.05129671691786694
cylinder_z,24.0,1.25,sharp,57600,0.2633739776960659,0.30105505787571846,0.7071067811865476,0.7071067811865476,0.8274757743917582,0.9529893677060733,0.14070898928901732,0.7653668647301795,0.7653668647301795
sphere,24.0,1.25,diffuse,29104,0.19799779574159296,0.052793120850423494,0.2729971566364156,0.2707348584423009,0.9995967611242187,0.9999155727770399,0.034302289756494984,0.051889408166596374,0.05047426048405538
sphere,24.0,1.25,sharp,29104,0.2698858667168763,0.33632638868683673,0.8660254037844386,0.8660254037844386,0.6302948515057397,0.9177454668960902,0.3806407524278731,0.9194016867619662,0.9194016867619662
plane,24.0,1.5,diffuse,36864,0.17948012193078394,0.030592786176053932,0.21007290810683787,0.21007290810683787,1.0,1.0,3.4349586064414095e-18,7.474035908929603e-16,1.0859290593693269e-16
plane,24.0,1.5,sharp,36864,0.25,0.25,0.5,0.5,1.0,1.0,0.0,0.0,0.0
cylinder_z,24.0,1.5,diffuse,57600,0.18004295949831153,0.034760849558168404,0.2270506274554265,0.2270506274554265,0.9998483347408649,0.9999681069894409,0.017610910292678732,0.04766495262778216,0.04707053883839309
cylinder_z,24.0,1.5,sharp,57600,0.2633739776960659,0.30105505787571846,0.7071067811865476,0.7071067811865476,0.8274757743917582,0.9529893677060733,0.14070898928901732,0.7653668647301795,0.7653668647301795
sphere,24.0,1.5,diffuse,29104,0.18009023111120354,0.03653829025573867,0.2298911611282394,0.22852454237791878,0.9998017130898933,0.9999613320136771,0.03360363053383455,0.04765001086117653,0.046516108075394254
sphere,24.0,1.5,sharp,29104,0.2698858667168763,0.33632638868683673,0.8660254037844386,0.8660254037844386,0.6302948515057397,0.9177454668960902,0.3806407524278731,0.9194016867619662,0.9194016867619662
