case,radius,eps_solid,theta_deg,ghost_count,raw_min,raw_max,raw_mean,clamped_min,clamped_max,clamped_mean,clamp_fraction,max_clamp_excess,mean_clamp_excess,bounded
sphere,16.0,1.25,120.0,5144,-0.00010034014590556105,0.9997415463424322,0.33976408593479024,0.0,0.9997415463424322,0.339766621942033,0.05754276827371695,0.00010034014590556105,2.5360072428113726e-06,True
plane,16.0,1.5,60.0,18432,2.1827266702794544e-15,1.0079985348384934,0.4755421959121866,2.1827266702794544e-15,1.0,0.47526001255162753,0.4166666666666667,0.007998534838493443,0.00028218336055915147,True
plane,16.0,1.5,90.0,18432,1.1102230246251565e-15,0.9999999999997388,0.45750000000001556,1.1102230246251565e-15,0.9999999999997388,0.45750000000001556,0.0,0.0,0.0,True
plane,16.0,1.5,120.0,18432,-0.008362571581525965,0.9999999999995132,0.4394578040878446,0.0,0.9999999999995132,0.43973011156878744,0.4479166666666667,0.008362571581525965,0.000272307480942906,True
cylinder_z,16.0,1.5,60.0,13440,2.0310684617291093e-15,1.008082682600073,0.47574412403014565,2.0310684617291093e-15,1.0,0.47546296741843164,0.4166666666666667,0.008082682600073055,0.0002811566117139887,True
cylinder_z,16.0,1.5,90.0,13440,1.1657341758564144e-15,0.9999999999997438,0.4577019248531765,1.1657341758564144e-15,0.9999999999997438,0.4577019248531765,0.0,0.0,0.0,True
cylinder_z,16.0,1.5,120.0,13440,-0.008349046958188125,0.9999999999995224,0.43965972567620754,0.0,0.9999999999995224,0.4399333808747176,0.4479166666666667,0.008349046958188125,0.00027365519851008346,True
sphere,16.0,1.5,60.0,5144,1.1936114061846013e-06,1.0001421320615316,0.43049183226328014,1.1936114061846013e-06,1.0,0.43049151510946115,0.003110419906687403,0.00014213206153157465,3.171538189839694e-07,True
sphere,16.0,1.5,90.0,5144,1.0737222366774546e-06,0.9997529959910886,0.3810031621574007,1.0737222366774546e-06,0.9997529959910886,0.3810031621574007,0.0,0.0,0.0,True
sphere,16.0,1.5,120.0,5144,-0.008176071839693558,0.9997394533094641,0.3315144920515213,0.0,0.9997394533094641,0.3322163689481322,0.3273716951788491,0.008176071839693558,0.0007018768966109389,True
plane,20.0,0.8,60.0,18432,1.699931581782783e-15,0.9999999999998591,0.4671225044865069,1.699931581782783e-15,0.9999999999998591,0.4671225044865069,0.0,0.0,0.0,True
plane,20.0,0.8,90.0,18432,1.1102230246251565e-15,0.9999999999997388,0.45750000000001556,1.1102230246251565e-15,0.9999999999997388,0.45750000000001556,0.0,0.0,0.0,True
