case,radius,near_band,ghost_band,eps_solid,diffuse_grad_std,sharp_grad_std,diffuse_grad_max,sharp_grad_max,grad_std_improvement,grad_max_improvement,diffuse_jump_p99,sharp_jump_p99,jump_p99_improvement,diffuse_alignment_min,max_ghost_clamp_fraction,max_ghost_clamp_excess,all_shadow_ghost_bounded,b1_pass
sphere,20.0,2.0,1.5,0.8,0.10886129830964758,0.3369744313497377,0.40631032613575474,0.8660254037844386,3.095447478416433,2.131438331929289,0.11078752748224187,0.9194016867619662,8.298783334697465,0.9947759269578667,0.0,0.0,True,True
plane,20.0,2.0,1.5,1.0,0.06519980393269727,0.25,0.28135987393074324,0.5,3.834367358804689,1.7770835372320186,0.0,0.0,0.0,1.0,0.0,0.0,True,True
cylinder_z,20.0,2.0,1.5,1.0,0.07502082777413903,0.29812717517961457,0.3249178348605496,0.7071067811865476,3.9739254287778487,2.1762633666755424,0.06987455598903779,0.7653668647301795,10.953441548168884,0.9989259144976186,0.0,0.0,True,True
sphere,20.0,2.0,1.5,1.0,0.07838031303249988,0.3369744313497377,0.33454433183215343,0.8660254037844386,4.299222831758958,2.5886715791643966,0.072227627309669,0.9194016867619662,12.729224550325043,0.9982928532345129,0.0,0.0,True,True
plane,20.0,2.0,1.5,1.2,0.047620283794436155,0.25,0.24868704462713107,0.5,5.249863715201324,2.010559097478017,0.0,0.0,0.0,1.0,0.0,0.0,True,True
cylinder_z,20.0,2.0,1.5,1.2,0.05501061301509157,0.29812717517961457,0.2774619859307718,0.7071067811865476,5.419448336229713,2.5484816552959235,0.06110056017312351,0.7653668647301795,12.52634775461263,0.9996286909518659,0.0,2.043788698039071e-17,True,True
sphere,20.0,2.0,1.5,1.2,0.05711727133374472,0.3369744313497377,0.2833326851295408,0.8660254037844386,5.89969414646484,3.0565672413985294,0.060168467624323964,0.9194016867619662,15.28045707433448,0.9994314704100651,0.0,0.0,True,True
plane,20.0,2.0,1.5,1.25,0.04412278118546393,0.25,0.24145844546104572,0.5,5.6660072933562375,2.070749685500914,2.2989939790784164e-16,0.0,0.0,1.0,0.390625,0.00020577545689597597,True,True
cylinder_z,20.0,2.0,1.5,1.25,0.05101896596641368,0.29812717517961457,0.2675533925571682,0.7071067811865476,5.843457810883012,2.6428623252663854,0.05973044989203895,0.7653668647301795,12.813679892141408,0.9996827195270285,0.38783914728682173,0.0002056895425076831,True,True
sphere,20.0,2.0,1.5,1.25,0.05290080588903452,0.3369744313497377,0.27279559521953334,0.8660254037844386,6.369930016880651,3.17463118525613,0.058816616567396465,0.9194016867619662,15.631665682578786,0.9995669066633257,0.08080808080808081,0.00013861594877387882,True,True
plane,20.0,2.0,1.5,1.5,0.030592786176053932,0.25,0.21007290810683787,0.5,8.171861123119408,2.3801260453142885,1.0859290593693269e-16,0.0,0.0,1.0,0.4479166666666667,0.008362571581525965,True,True
cylinder_z,20.0,2.0,1.5,1.5,0.035538084093269105,0.29812717517961457,0.22662093287341697,0.7071067811865476,8.38894900459982,3.1202182967868826,0.05648063676365773,0.7653668647301795,13.550960268611068,0.9998441976546868,0.4479166666666667,0.008339424371078152,True,True
