step,group,bin,active_count,limiter_count,limiter_fraction,raw_delta_p95,raw_delta_p99,limiter_ratio_p50
500,c_x_tangent:c_0p90_0p95,t_0p005_0p01,0,0,nan,nan,nan,nan
500,c_x_tangent:c_0p90_0p95,t_0p01_0p025,0,0,nan,nan,nan,nan
500,c_x_tangent:c_0p90_0p95,t_0p025_0p05,16,0,0.0,0.207623759435092,0.20762375943509262,1.0
500,c_x_tangent:c_0p90_0p95,t_0p05_0p10,8,8,1.0,0.2710385399631358,0.2710385399631361,0.9223780572324755
500,c_x_tangent:c_0p90_0p95,t_0p10_inf,0,0,nan,nan,nan,nan
500,c_x_tangent:c_0p95_1,t_0_0p005,0,0,nan,nan,nan,nan
500,c_x_tangent:c_0p95_1,t_0p005_0p01,0,0,nan,nan,nan,nan
500,c_x_tangent:c_0p95_1,t_0p01_0p025,8,0,0.0,0.08933424850171968,0.0893342485017197,1.0
500,c_x_tangent:c_0p95_1,t_0p025_0p05,4,0,0.0,0.13033072403878862,0.13033072403878881,1.0
500,c_x_tangent:c_0p95_1,t_0p05_0p10,0,0,nan,nan,nan,nan
500,c_x_tangent:c_0p95_1,t_0p10_inf,0,0,nan,nan,nan,nan
600,region,none_or_unknown,0,0,nan,nan,nan,nan
600,region,sphere_upper,876,412,0.4703196347031963,0.6197182254218189,0.665254667717643,1.0
600,region,sphere_lower90,0,0,nan,nan,nan,nan
600,region,sphere_bottom120,0,0,nan,nan,nan,nan
600,region,outer_or_other_wall,0,0,nan,nan,nan,nan
600,theta_zone,sphere11,876,412,0.4703196347031963,0.6197182254218189,0.665254667717643,1.0
600,theta_zone,outer90,0,0,nan,nan,nan,nan
600,theta_zone,fallback,0,0,nan,nan,nan,nan
600,c_bin,c_0_0p05,212,0,0.0,0.07779815158344594,0.09364092694328742,1.0
600,c_bin,c_0p05_0p10,164,0,0.0,0.17713558941717003,0.20372646295370578,1.0
600,c_bin,c_0p10_0p30,196,136,0.6938775510204082,0.39994800504510547,0.42850339499775547,0.8974481657188705
600,c_bin,c_0p30_0p70,160,160,1.0,0.6656433205139833,0.673027750670176,0.4492123232031865
600,c_bin,c_0p70_0p90,104,104,1.0,0.5078353014229487,0.5078353295376359,0.6745618880105724
600,c_bin,c_0p90_0p95,20,12,0.6,0.26366527766637243,0.26366527766637593,0.9972881786438907
