diff_count,diff_max,diff_max_abs,diff_mean,diff_min,diff_nonfinite,diff_p95_abs,diff_std,field,offline_count,offline_max,offline_max_abs,offline_mean,offline_min,offline_nonfinite,offline_p95_abs,offline_std,present,region,step,tclb_count,tclb_max,tclb_max_abs,tclb_mean,tclb_min,tclb_nonfinite,tclb_p95_abs,tclb_std
763392,0.00022500000000000002,0.00037499999999075783,-1.0315190019608416e-06,-0.00037499999999075783,0,1.7913693788507027e-06,2.7556047762360424e-05,ReplayMu,763392,0.00037499999999075783,0.00037499999999075783,1.0315190019608416e-06,-0.00022500000000000002,0,1.7913693788507027e-06,2.7556047762360424e-05,True,fluid,0,763392,0.0,0.0,0.0,0.0,0,0.0,0.0
38520,3.3609620454184757e-06,0.00034648514731379376,-7.724093466448725e-06,-0.00034648514731379376,0,1.4812649859913854e-05,2.8415282943682117e-05,ReplayMu,38520,0.00034648514731379376,0.00034648514731379376,7.724093466448725e-06,-3.3609620454184757e-06,0,1.4812649859913854e-05,2.8415282943682117e-05,True,interface,0,38520,0.0,0.0,0.0,0.0,0,0.0,0.0
38400,3.1647099955428324e-06,0.00037499999999075783,-1.8352956278440565e-05,-0.00037499999999075783,0,0.00018749927091822423,6.62464983305306e-05,ReplayMu,38400,0.00037499999999075783,0.00037499999999075783,1.8352956278440565e-05,-3.1647099955428324e-06,0,0.00018749927091822423,6.62464983305306e-05,True,near_wall,0,38400,0.0,0.0,0.0,0.0,0,0.0,0.0
2540,3.1647099955428324e-06,0.00034648514731379376,-4.2614207854009993e-05,-0.00034648514731379376,0,0.00019239121694226665,7.333138378488994e-05,ReplayMu,2540,0.00034648514731379376,0.00034648514731379376,4.2614207854009993e-05,-3.1647099955428324e-06,0,0.00019239121694226665,7.333138378488994e-05,True,near_interface,0,2540,0.0,0.0,0.0,0.0,0,0.0,0.0
556,2.3566511589726207e-06,0.0002701512171672508,-9.647140573307692e-05,-0.0002701512171672508,0,0.0002121809176592096,6.89681663100176e-05,ReplayMu,556,0.0002701512171672508,0.0002701512171672508,9.647140573307692e-05,-2.3566511589726207e-06,0,0.0002121809176592096,6.89681663100176e-05,True,contact_core,0,556,0.0,0.0,0.0,0.0,0,0.0,0.0
711768,3.3609620454184757e-06,0.00037499999999075783,-1.1229174691924955e-06,-0.00037499999999075783,0,1.3628708601678886e-06,1.5959498126285074e-05,ReplayMu,711768,0.00037499999999075783,0.00037499999999075783,1.1229174691924955e-06,-3.3609620454184757e-06,0,1.3628708601678886e-06,1.5959498126285074e-05,True,fluid_tclb_fluid,0,711768,0.0,0.0,0.0,0.0,0,0.0,0.0
37600,3.1647099955428324e-06,0.00037499999999075783,-1.8743444729685932e-05,-0.00037499999999075783,0,0.00018749987903685816,6.689285372170984e-05,ReplayMu,37600,0.00037499999999075783,0.00037499999999075783,1.8743444729685932e-05,-3.1647099955428324e-06,0,0.00018749987903685816,6.689285372170984e-05,True,near_wall_tclb_fluid,0,37600,0.0,0.0,0.0,0.0,0,0.0,0.0
2540,3.1647099955428324e-06,0.00034648514731379376,-4.2614207854009993e-05,-0.00034648514731379376,0,0.00019239121694226665,7.333138378488994e-05,ReplayMu,2540,0.00034648514731379376,0.00034648514731379376,4.2614207854009993e-05,-3.1647099955428324e-06,0,0.00019239121694226665,7.333138378488994e-05,True,near_interface_tclb_fluid,0,2540,0.0,0.0,0.0,0.0,0,0.0,0.0
556,2.3566511589726207e-06,0.0002701512171672508,-9.647140573307692e-05,-0.0002701512171672508,0,0.0002121809176592096,6.89681663100176e-05,ReplayMu,556,0.0002701512171672508,0.0002701512171672508,9.647140573307692e-05,-2.3566511589726207e-06,0,0.0002121809176592096,6.89681663100176e-05,True,contact_core_tclb_fluid,0,556,0.0,0.0,0.0,0.0,0,0.0,0.0
51624,0.00022500000000000002,0.00022500000000000002,2.2864108297134974e-07,-0.00022500000000000002,0,0.00022499999937522746,8.783644932881504e-05,ReplayMu,51624,0.00022500000000000002,0.00022500000000000002,-2.2864108297134974e-07,-0.00022500000000000002,0,0.00022499999937522746,8.783644932881504e-05,True,offline_fluid_tclb_boundary,0,51624,0.0,0.0,0.0,0.0,0,0.0,0.0
763392,0.08899473706559469,0.08899473706559469,0.00010100723426590167,-0.029167434921116397,0,0.010804012344258818,0.004394025828033537,PhaseField,763392,1.0,1.0,0.17445521553437984,0.0,0,0.9999999982287173,0.36802092253330343,True,fluid,1,763392,0.9999999999999999,0.9999999999999999,0.17455622276864566,0.0,0,0.9999999965926235,0.3669929735039823
38520,0.08899473706559469,0.08899473706559469,0.0008112868302051577,-0.029167434921116397,0,0.019972401418576258,0.017470445451800074,PhaseField,38520,0.9498508008944095,0.9498508008944095,0.4825790699196389,0.05000180842184804,0,0.9322863153054171,0.31111739656463355,True,interface,1,38520,0.952107251393258,0.952107251393258,0.48339035674984404,0.05962442734617576,0,0.9156350369233366,0.29714716363678256
38400,0.034017908551172066,0.034017908551172066,0.0003565673497642736,-0.029167434921116397,0,0.013759526899344348,0.005114048284561615,PhaseField,38400,0.9999999999999043,0.9999999999999043,0.2221821359865209,0.0,0,0.9999999966248171,0.4017481870914943,True,near_wall,1,38400,0.9999999999997564,0.9999999999997564,0.22253870333628517,0.0,0,0.999999995172212,0.40037250354057263
2540,0.024394345775714588,0.029167434921116397,-0.0003382917338791829,-0.029167434921116397,0,0.021708484389000526,0.014601291825644258,PhaseField,2540,0.9484695646937391,0.9484695646937391,0.47993018268296966,0.05022998720509775,0,0.9293870610977603,0.3078802102262111,True,near_interface,1,2540,0.9357909567691172,0.9357909567691172,0.47959189094909055,0.05962442734617576,0,0.9133177174972489,0.2949738944151296
556,0.024394345775714588,0.02819095681537065,-0.00026170547159861746,-0.02819095681537065,0,0.02449509657892006,0.013885501625966691,PhaseField,556,0.7953511510400257,0.7953511510400257,0.4926642079504398,0.20083984917699066,0,0.769447973743209,0.18556673738684346,True,contact_core,1,556,0.7957326176437185,0.7957326176437185,0.49240250247884115,0.21390926045899325,0,0.7625687490859114,0.177046302592161
711768,0.034017908551172066,0.034017908551172066,1.6433439475014997e-05,-0.029167434921116397,0,0.011195634004868116,0.003902726351314884,PhaseField,711768,1.0,1.0,0.18127143225206827,0.0,0,0.9999999988806574,0.37344048325685003,True,fluid_tclb_fluid,1,711768,0.9999999999999999,0.9999999999999999,0.1812878656915433,0.0,0,0.9999999974924898,0.3722986035558216
37600,0.034017908551172066,0.034017908551172066,0.0003641534728245822,-0.029167434921116397,0,0.014000132688945819,0.005167899449783741,PhaseField,37600,0.9999999999999043,0.9999999999999043,0.22690941535899456,0.0,0,0.9999999971120718,0.4046764366483146,True,near_wall_tclb_fluid,1,37600,0.9999999999997564,0.9999999999997564,0.22727356883181915,0.0,0,0.999999995549073,0.4032773619831518
