candidate_count,candidate_max,candidate_max_abs,candidate_mean,candidate_min,candidate_nonfinite,candidate_p95_abs,candidate_std,diff_count,diff_max,diff_max_abs,diff_mean,diff_min,diff_nonfinite,diff_p95_abs,diff_std,field,reference_count,reference_max,reference_max_abs,reference_mean,reference_min,reference_nonfinite,reference_p95_abs,reference_std,region
37484,0.3392089450698752,0.38930917932063475,-0.003275072500966855,-0.38930917932063475,0,0.15998630581748993,0.11730732589603551,37484,0.7356549214812532,0.7488058977778523,-0.0010482855901301602,-0.7488058977778523,0,0.0381461457164203,0.07134403068656264,current_lap_vs_midpoint_boundary,37484,0.8163069450558278,0.8163069450558278,-0.0022267869108366953,-0.7898468532398021,0,0.16094912387170496,0.14776800456689534,interface_tclb_fluid
2856,0.3392089450698752,0.38930917932063475,-0.0036868916497445874,-0.38930917932063475,0,0.2201319627348083,0.12247371750510788,2856,0.7356549214812532,0.7488058977778523,0.037472552663017834,-0.7488058977778523,0,0.5011866408244515,0.23428604379414647,current_lap_vs_midpoint_boundary,2856,0.8163069450558278,0.8163069450558278,-0.04115944431276243,-0.7898468532398021,0,0.6207054767451163,0.29376946431950907,near_interface
2540,0.3392089450698752,0.38930917932063475,-0.004145575807744311,-0.38930917932063475,0,0.22285072871159162,0.12986157340848273,2540,0.7356549214812532,0.7488058977778523,-0.011277579805275358,-0.7488058977778523,0,0.5411312052996669,0.19993203506194052,current_lap_vs_midpoint_boundary,2540,0.8163069450558278,0.8163069450558278,0.007132003997531051,-0.7898468532398021,0,0.6498819216042226,0.27512438762964847,near_interface_tclb_fluid
872,0.3392089450698752,0.38930917932063475,-0.00653203231674452,-0.38930917932063475,0,0.2592578890827144,0.12310731603181306,872,0.5411312052996677,0.577932981990539,0.14759784530630288,-0.577932981990539,0,0.4861111111111111,0.2619671982180446,current_lap_vs_midpoint_boundary,872,0.6589000089117977,0.6589000089117977,-0.1541298776230474,-0.53792022839067,0,0.5,0.305235619404726,contact_core
556,0.3392089450698752,0.38930917932063475,-0.010244482338491406,-0.38930917932063475,0,0.27119058551889796,0.1540483244023952,556,0.5411312052996677,0.577932981990539,-0.01252039928755799,-0.577932981990539,0,0.4152973132910216,0.1888529621320584,current_lap_vs_midpoint_boundary,556,0.6589000089117977,0.6589000089117977,0.0022759169490665847,-0.53792022839067,0,0.5078540363236687,0.2782055908222409,contact_core_tclb_fluid
51624,0.0,0.0,0.0,0.0,0,0.0,0.0,51624,1.6111111111111112,2.0972222222222223,-1.3484974453384597,-2.0972222222222223,0,1.6944444444444442,0.8794232164561142,current_lap_vs_midpoint_boundary,51624,2.0972222222222223,2.0972222222222223,1.3484974453384597,-1.6111111111111112,0,1.6944444444444442,0.8794232164561142,offline_fluid_tclb_boundary
800,0.0,0.0,0.0,0.0,0,0.0,0.0,800,0.5,1.7361111111111112,-0.8073610691978945,-1.7361111111111112,0,1.6111111111111112,0.9997947953479619,current_lap_vs_midpoint_boundary,800,1.7361111111111112,1.7361111111111112,0.8073610691978945,-0.5,0,1.6111111111111112,0.9997947953479619,cylinder_overlap_boundary
50824,0.0,0.0,0.0,0.0,0,0.0,0.0,50824,1.6111111111111112,2.0972222222222223,-1.3570152538720748,-2.0972222222222223,0,1.6944444444444442,0.8747243863494626,current_lap_vs_midpoint_boundary,50824,2.0972222222222223,2.0972222222222223,1.3570152538720748,-1.6111111111111112,0,1.6944444444444442,0.8747243863494626,outer_boundary
884736,5.5454892261692396e-05,0.00011250001492280146,6.003550441505904e-08,-0.00011250001492280146,0,6.529521531512629e-07,2.236774017740033e-06,884736,0.00045625,0.00045625,-3.979100015276074e-08,-0.00037500000000000006,0,2.0888325586616854e-10,4.255461779550724e-05,current_mu_vs_periodic,884736,0.00037500000000000006,0.00045625,9.98265045678198e-08,-0.00045625,0,5.829334266773694e-06,4.2613306325402706e-05,all
763392,5.5454892261692396e-05,0.00011250001492280146,6.957837131403221e-08,-0.00011250001492280146,0,1.04070142340329e-06,2.407854775074425e-06,763392,0.00022500000000000002,0.00034687500000000007,-4.6622628533255806e-08,-0.00034687500000000007,0,4.671624932123857e-19,2.3571977414183473e-05,current_mu_vs_periodic,763392,0.00034687500000000007,0.00034687500000000007,1.1620099984728806e-07,-0.00022500000000000002,0,1.7604200970354384e-06,2.369450138702025e-05,offline_fluid
711768,5.5454892261692396e-05,0.00011250001492280146,7.46248384784954e-08,-0.00011250001492280146,0,1.2245434298948877e-06,2.4935708435621414e-06,711768,9.284239854326629e-19,9.325873346955038e-19,4.8708057232325936e-21,-9.325873346955038e-19,0,2.5811880467527073e-19,1.0099822977991709e-19,current_mu_vs_periodic,711768,5.5454892261692416e-05,0.00011250001492280152,7.462483847849053e-08,-0.00011250001492280152,0,1.2245434298946466e-06,2.4935708435621414e-06,tclb_fluid
38836,5.5454892261692396e-05,5.668966893213265e-05,2.0860099627850453e-06,-5.668966893213265e-05,0,9.12359261972203e-06,5.523057880986672e-06,38836,8.040460251811446e-19,0.00034687500000000007,-4.61281762856421e-06,-0.00034687500000000007,0,3.866176008623847e-19,2.778064259733376e-05,current_mu_vs_periodic,38836,0.00034687500000000007,0.00034687500000000007,6.698827591349256e-06,-5.6689668932132666e-05,0,1.6567025283060126e-05,2.798255714580305e-05,interface_offline_fluid
37484,5.5454892261692396e-05,5.668966893213265e-05,2.1612496775883053e-06,-5.668966893213265e-05,0,9.145651228597608e-06,5.607299076707865e-06,37484,8.040460251811446e-19,8.040460251811446e-19,3.8160282881467275e-21,-7.917640474459572e-19,0,2.854431549075537e-19,1.27422385611065e-19,current_mu_vs_periodic,37484,5.5454892261692416e-05,5.6689668932132666e-05,2.161249677588302e-06,-5.6689668932132666e-05,0,9.145651228597549e-06,5.607299076707866e-06,interface_tclb_fluid
2856,5.5454892261692396e-05,5.668966893213265e-05,2.3145044845589056e-06,-5.668966893213265e-05,0,3.600661668063665e-05,1.3744667668896501e-05,2856,6.335806445462167e-19,0.00034687500000000007,-2.2295167394051016e-05,-0.00034687500000000007,0,0.00020624999999999184,6.59611565594637e-05,current_mu_vs_periodic,2856,0.00034687500000000007,0.00034687500000000007,2.460967187860992e-05,-5.6689668932132666e-05,0,0.00020624999999999184,6.66076987603944e-05,near_interface
2540,5.5454892261692396e-05,5.668966893213265e-05,2.6024507117717462e-06,-5.668966893213265e-05,0,3.6812402393536636e-05,1.4548864049434439e-05,2540,6.335806445462167e-19,6.335806445462167e-19,4.3157725099798185e-21,-4.973671587158845e-19,0,2.829090043829363e-19,1.2576822905958323e-19,current_mu_vs_periodic,2540,5.5454892261692416e-05,5.6689668932132666e-05,2.6024507117717416e-06,-5.6689668932132666e-05,0,3.6812402393536595e-05,1.4548864049434446e-05,near_interface_tclb_fluid
872,5.5454892261692396e-05,5.668966893213265e-05,2.241288461541577e-06,-5.668966893213265e-05,0,4.545431613045384e-05,2.1033357278785936e-05,872,3.7269449679189215e-19,0.00034687500000000007,-7.30217867860203e-05,-0.00034687500000000007,0,0.00026874999999996677,0.00010269353652164839,current_mu_vs_periodic,872,0.00034687500000000007,0.00034687500000000007,7.526307524756189e-05,-5.6689668932132666e-05,0,0.00026874999999996677,0.00010325230644111964,contact_core
